VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DEPT
050274,"EKL SHIRTHOUSE CORPORATION",OUTRIGHT,"MEN'S WEAR,BOYS TEENS' WEAR,SURPLUS SHOP,MEN'S WEAR PLUS,MW INSTITUTIONAL SALES"
050289,"ELCJ PHIL IMPORT & EXPORT INC",OUTRIGHT,"WOMEN'S WEAR 1"
054030,"ELEC TREATS ENTERPRISES","STORE CONSIGNOR",HARDWARE
054154,"ELEMIE NATURALS INC.","STORE CONSIGNOR","KULTURA,WATSONS"
050266,"ELEV8 TRADING AND MARKETING CORPORATION",OUTRIGHT,WATSONS
054077,"ELEVENSIX INC","STORE CONSIGNOR","KIDS' WEAR - GIRLS,KIDS' WEAR - GIRLS DS"
054126,"ELITE FORCE INDUSTRIES INC","STORE CONSIGNOR","KIDS' WEAR - GIRLS,BABIES' WEAR,KIDS' WEAR - BOYS,WATSONS,KIDS' WEAR - GIRLS DS,BABIES' WEAR DS,KIDS' WEAR - BOYS DS"
054153,"ELITTILE CORPORATION","STORE CONSIGNOR",HARDWARE
050153,"ELIZABETH LINENS",OUTRIGHT,"LINENS AND ACCESSORIES"
054075,"ELRO CORPORATION","STORE CONSIGNOR","MEN'S SHOES,WOMEN'S SHOES,KIDS' SHOES,TOYS,SPORTS CENTRAL,WOMEN'S SHOES DS,KIDS' SHOES DS,MEN'S SHOES DS"
050171,"EM-COR GENERAL MERCHANDISE",OUTRIGHT,"GIRLS TEENS' WEAR,WOMEN'S SHOES,SURPLUS SHOP,WOMEN'S ACCESSORIES,KIDS' ACCESSORIES,BAGS,LUGGAGE,KIDS' SHOES"
050286,"EMER TRADING",OUTRIGHT,KULTURA
050302,"EMJ ENTERPRISES",OUTRIGHT,WATSONS
050298,"EMPEROR CLOTHING CORPORATION",OUTRIGHT,"BOYS TEENS' WEAR"
054111,"EMPRESS EXCEL ENTERPRISES","STORE CONSIGNOR","MEN'S WEAR,MEN'S WEAR DS"
050238,"ENERGON TRADING",OUTRIGHT,"TOYS,PET EXPRESS"
050348,"ENERLIFE PHILIPPINES INC.",OUTRIGHT,SNACKS
050315,"ENJOYLIFE MARKETING CORP",OUTRIGHT,WATSONS
050363,"ENLIFE GLOBAL INC.",OUTRIGHT,WATSONS
054150,"E-NNOVATIONS TECHNOLOGIES AND MARKETINGCORP","STORE CONSIGNOR","BABIES ACCS & FURN"
050314,"ENPEKEI INTERNATIONAL INC",OUTRIGHT,KULTURA
050224,"ENRIQUEZ HANDICRAFT INC",OUTRIGHT,KULTURA
050969,"ENZIMA INTERNATIONAL INC",OUTRIGHT,"HARDWARE,WATSONS"
050305,"EON PHARMATEK INC",OUTRIGHT,WATSONS
050329,"EPL CACAO PRODUCTS",OUTRIGHT,KULTURA
050360,"EPOLEM PHILIPPINES CORP.",OUTRIGHT,"MEN'S SHOES,WOMEN'S SHOES,KIDS' SHOES"
054159,"ERCM PRODUCTS INTERNATIONAL INC.","STORE CONSIGNOR",HARDWARE
054097,"ERICDANI INC","STORE CONSIGNOR","WOMEN'S WEAR 1,WOMEN'S WEAR 3,WOMEN'S WEAR 1 DS,WOMEN'S WEAR 3 DS"
050163,"ERTH LINE INC",OUTRIGHT,WATSONS
050186,"ES FASHION BOUTIQUE",OUTRIGHT,"MEN'S SHOES,WOMEN'S SHOES,KIDS' SHOES"
050349,"ESROM'S HOUSE OF ECO BURI",OUTRIGHT,KULTURA
050325,"ESSARLIE FASHION COLLECTION",OUTRIGHT,"SURPLUS SHOP,SMART BUY"
054140,"ESSLIV CORP","STORE CONSIGNOR",WATSONS
050061,"EURO MED LABORATORIES PHILS. INC.",OUTRIGHT,WATSONS
054045,"EURO-ASIAN MARKETING NETWORK INC","STORE CONSIGNOR","OUR HOME"
054062,"EUROPEAN MIX CONCEPTS INC","STORE CONSIGNOR","FURNITURE & FIXTURES,HARDWARE"
050242,"EUROTILES INDUSTRIAL CORPORATION",OUTRIGHT,HARDWARE
050361,"EVA MARIE ARTS AND CRAFT",OUTRIGHT,KULTURA
050340,"EVEPEK CREATION EXPORT",OUTRIGHT,KULTURA
